id        	scores          	mean	title
tTPHgb0EtV	8,8,8,8         	8.0 	Booster: Tackling Harmful Fine-tuning for Large Language Models via Attenuating Harmful Perturbation
Nx4PMtJ1ER	8,10,6,8        	8.0 	Signature Kernel Conditional Independence Tests in Causal Discovery for Stochastic Processes
xDrFWUmCne	8,8,8           	8.0 	Learning to Discretize Denoising Diffusion ODEs
WJaUkwci9o	8,8,8,8         	8.0 	Self-Improvement in Language Models: The Sharpening Mechanism
k38Th3x4d9	8,8,8,8,8       	8.0 	Root Cause Analysis of Anomalies in Multivariate Time Series through Granger Causal Discovery
Fur0DtynPX	8,8,8,8         	8.0 	GridMix: Exploring Spatial Modulation for Neural Fields in PDE Modeling
tPNHOoZFl9	6,8,8,10        	8.0 	Learning Dynamics of LLM Finetuning
xByvdb3DCm	8,8,8,8,8       	8.0 	When Selection meets Intervention: Additional Complexities in Causal Discovery
OIvg3MqWX2	8,6,10,8        	8.0 	A Theoretically-Principled Sparse, Connected, and Rigid Graph Representation of Molecules
6s5uXNWGIh	6,10,8,8        	8.0 	MLE-Bench: Evaluating Machine Learning Agents on Machine Learning Engineering
SnDmPkOJ0T	8,6,8,10        	8.0 	REEF: Representation Encoding Fingerprints for Large Language Models
P4o9akekdf	8,8,8           	8.0 	No Pose, No Problem: Surprisingly Simple 3D Gaussian Splats from Sparse Unposed Images
SjufxrSOYd	8,8,8,8,8       	8.0 	Invariant Graphon Networks: Approximation and Cut Distance
KIgaAqEFHW	8,8,8           	8.0 	miniCTX: Neural Theorem Proving with (Long-)Contexts
CxXGvKRDnL	8,8,8,8         	8.0 	Progressive Compression with Universally Quantized Diffusion Models
HnhNRrLPwm	8,8,8           	8.0 	MMIE: Massive Multimodal Interleaved Comprehension Benchmark for Large Vision-Language Models
5UKrnKuspb	8,10,6,8        	8.0 	NeuralPlane: Structured 3D Reconstruction in Planar Primitives with Neural Fields
pQqeQpMkE7	8,8,8,8         	8.0 	On Scaling Up 3D Gaussian Splatting Training
Cjz9Xhm7sI	8,8,8           	8.0 	High-Dynamic Radar Sequence Prediction for Weather Nowcasting Using Spatiotemporal Coherent Gaussian Representation
Xo0Q1N7CGk	8,8,8,8         	8.0 	An Investigation of Conformal Isometry Hypothesis for Grid Cells
0ctvBgKFgc	8,8,8,8         	8.0 	ProtComposer: Compositional Protein Structure Generation with 3D Ellipsoids
8EfxjTCg2k	8,8,8,8         	8.0 	MoDeGPT: Modular Decomposition for Large Language Model Compression
KSLkFYHlYg	6,10,8          	8.0 	ShEPhERD: Diffusing shape, electrostatics, and pharmacophores for bioisosteric drug design
3i13Gev2hV	8,8,8,8         	8.0 	Compositional Entailment Learning for Hyperbolic Vision-Language Models
vf5aUZT0Fz	8,8,8           	8.0 	DEPT: Decoupled Embeddings for Pre-training Language Models
6EUtjXAvmj	8,8,8,8         	8.0 	Variational Diffusion Posterior Sampling with Midpoint Guidance
CjwERcAU7w	8,8,8,8         	8.0 	Training Language Models to Self-Correct via Reinforcement Learning
HvSytvg3Jh	8,8,8,8         	8.0 	AlphaEdit: Null-Space Constrained Model Editing for Language Models
RuP17cJtZo	8,8,8,8         	8.0 	Generator Matching: Generative modeling with arbitrary Markov processes
RWJX5F5I9g	8,8,8           	8.0 	Brain Bandit: A Biologically Grounded Neural Network for Efficient Control of Exploration
wg1PCg3CUP	8,8,8,8         	8.0 	Scaling Laws for Precision
AoraWUmpLU	8,8,8,8         	8.0 	Exploring the Impact of Activation Functions in Training Neural ODEs
m2nmp8P5in	8,8,8,8         	8.0 	LLM-SR: Scientific Equation Discovery via Programming with Large Language Models
07yvxWDSla	8,8,8,8         	8.0 	Synthetic continued pretraining
v593OaNePQ	6,8,8,10        	8.0 	Learning to Search from Demonstration Sequences
Y6aHdDNQYD	8,8,8           	8.0 	MOS: Model Synergy for Test-Time Adaptation on LiDAR-Based 3D Object Detection
rfdblE10qm	8,8,8           	8.0 	Rethinking Reward Modeling in Preference-based Large Language Model Alignment
hyfe5q5TD0	8,8,8,8         	8.0 	Computationally Efficient RL under Linear Bellman Completeness for Deterministic Dynamics
weM4YBicIP	8,8,8,8         	8.0 	Loopy: Taming Audio-Driven Portrait Avatar with Long-Term Motion Dependency
hrqNOxpItr	8,8,8           	8.0 	Cross-Entropy Is All You Need To Invert the Data Generating Process
Bo62NeU6VF	8,8,8,8         	8.0 	Backtracking Improves Generation Safety
QEHrmQPBdd	8,8,8           	8.0 	RM-Bench: Benchmarking Reward Models of Language Models with Subtlety and Style
Q6a9W6kzv5	8,8,8,8         	8.0 	PhysBench: Benchmarking and Enhancing Vision-Language Models for Physical World Understanding
pISLZG7ktL	8,8,8,8         	8.0 	Data Scaling Laws in Imitation Learning for Robotic Manipulation
Kpjvm2mB0K	8,8,8           	8.0 	Streaming Algorithms For $\ell_p$ Flows and $\ell_p$ Regression
ZCOwwRAaEl	8,8,8,8         	8.0 	Latent Bayesian Optimization via Autoregressive Normalizing Flows
stUKwWBuBm	8,8,8,8         	8.0 	Tractable Multi-Agent Reinforcement Learning through Behavioral Economics
zl0HLZOJC9	8,8,8,8         	8.0 	Probabilistic Learning to Defer: Handling Missing Expert Annotations and Controlling Workload Distribution
1CLzLXSFNn	6,8,10          	8.0 	TimeMixer++: A General Time Series Pattern Machine for Universal Predictive Analysis
g3xuCtrG6H	8,10,8,6,8      	8.0 	A Computational Framework for Modeling Emergence of Color Vision in the Human Brain
PBjCTeDL6o	6,8,10,8        	8.0 	Unlearning-based Neural Interpretations
DzGe40glxs	8,8,8,8         	8.0 	Interpreting Emergent Planning in Model-Free Reinforcement Learning
9pW2J49flQ	8,8,8,8         	8.0 	DeepLTL: Learning to Efficiently Satisfy Complex LTL Instructions
EO8xpnW7aX	8,8,8,8,8       	8.0 	Learning to Permute with Discrete Diffusion
nGiGXLnKhl	8,8,8           	8.0 	Vision-RWKV: Efficient and Scalable Visual Perception with RWKV-Like Architectures
gHLWTzKiZV	10,8,8,6,8      	8.0 	Composing Unbalanced Flows for Flexible Docking and Relaxation
SctfBCLmWo	8,8,8           	8.0 	A Decade's Battle on Dataset Bias: Are We There Yet?
uHLgDEgiS5	8,8,8,8         	8.0 	Capturing the Temporal Dependence of Training Data Influence
sbG8qhMjkZ	8,8,8,8         	8.0 	Improved Finite-Particle Convergence Rates for Stein Variational Gradient Descent
bnINPG5A32	8,6,8,10        	8.0 	RB-Modulation: Training-Free Personalization using Stochastic Optimal Control
mMPMHWOdOy	8,8,8,8         	8.0 	WizardMath: Empowering Mathematical Reasoning for Large Language Models via Reinforced Evol-Instruct
A3YUPeJTNR	8,8,8,8         	8.0 	The Hidden Cost of Waiting for Accurate Predictions
xoXn62FzD0	8,8,8,8         	8.0 	Syntactic and Semantic Control of Large Language Models via Sequential Monte Carlo
XmProj9cPs	8,8,8,8         	8.0 	Spider 2.0: Can Language Models Resolve Real-World Enterprise Text-to-SQL Workflows?
tyEyYT267x	8,8,8,8         	8.0 	Interpolating Autoregressive and Discrete Denoising Diffusion Language Models
SPS6HzVzyt	8,8,8,8         	8.0 	Context-Parametric Inversion: Why Instruction Finetuning May Not Actually Improve Context Reliance
uAFHCZRmXk	8,8,8,8         	8.0 	Two Effects, One Trigger: On the Modality Gap, Object Bias, and Information Imbalance in Contrastive Vision-Language Models
CRmiX0v16e	10,8,8,5,8      	7.8 	Open-YOLO 3D: Towards Fast and Accurate Open-Vocabulary 3D Instance Segmentation
kxnoqaisCT	10,5,8,8        	7.8 	Navigating the Digital World as Humans Do: Universal Visual Grounding for GUI Agents
eBS3dQQ8GV	8,5,10,8,8      	7.8 	Emergence of meta-stable clustering in mean-field transformer models
or8mMhmyRV	8,10,8,5        	7.8 	MaestroMotif: Skill Design from Artificial Intelligence Feedback
syThiTmWWm	8,6,6,6,8,10,10,8	7.8 	Cheating Automatic LLM Benchmarks: Null Models Achieve High Win Rates
QQBPWtvtcn	8,8,8,6,8,8     	7.7 	LVSM: A Large View Synthesis Model with Minimal 3D Inductive Bias
XFYUwIyTxQ	8,8,8,6,8,8     	7.7 	EmbodiedSAM: Online Segment Any 3D Thing in Real Time
ZuazHmXTns	6,8,8,8,8       	7.6 	Problem-Parameter Free Federated Learning
1HCN4pjTb4	8,8,8,8,6       	7.6 	Wide Neural Networks Trained with Weight Decay Provably Exhibit Neural Collapse
EUSkm2sVJ6	6,8,8,8,8       	7.6 	How much of my dataset did you use? Quantitative Data Usage Inference in Machine Learning
cH65nS5sOz	10,6,8,6,8      	7.6 	Subgraph Federated Learning for Local Generalization
j7b4mm7Ec9	6,8,8,8,8       	7.6 	Towards Lightweight Deep Watermarking Framework
SI2hI0frk6	8,8,8,6,8       	7.6 	Transfusion: Predict the Next Token and Diffuse Images with One Multi-Modal Model
TJo6aQb7mK	5,5,10,10,8     	7.6 	Surprising Effectiveness of pretraining Ternary  Language Model at Scale
rdv6yeMFpn	10,6,8,6,8      	7.6 	Homomorphism Expressivity of Spectral Invariant Graph Neural Networks
eW4yh6HKz4	6,6,8,10,8      	7.6 	CBQ: Cross-Block Quantization for Large Language Models
8enWnd6Gp3	8,8,8,8,6       	7.6 	TetSphere Splatting: Representing High-Quality Geometry with Lagrangian Volumetric Meshes
wPMRwmytZe	8,8,8,6,8       	7.6 	Progressive distillation induces an implicit curriculum
vaEPihQsAA	8,10,6,6,8      	7.6 	CyberHost: A One-stage Diffusion Framework for Audio-driven Talking Body Generation
uKZdlihDDn	8,6,8,8,8       	7.6 	Learning Distributions of Complex Fluid Simulations with Diffusion Graph Networks
V4K9h1qNxE	8,8,6,8,8       	7.6 	Attention as a Hypernetwork
JWtrk7mprJ	8,8,6,8,8       	7.6 	Residual Deep Gaussian Processes on Manifolds
kX8h23UG6v	8,8,6,8,8       	7.6 	Standard Gaussian Process Can Be Excellent for High-Dimensional Bayesian Optimization
tcvMzR2NrP	6,10,8,6,8      	7.6 	Flow Matching with General Discrete Paths: A Kinetic-Optimal Perspective
MFZjrTFE7h	8,8,8,6         	7.5 	D-FINE: Redefine Regression Task of DETRs as Fine-grained Distribution Refinement
qgsXsqahMq	8,6,8,8         	7.5 	GETS: Ensemble Temperature Scaling for Calibration in Graph Neural Networks
M7KyLjuN0A	6,8,8,8         	7.5 	DynamicCity: Large-Scale LiDAR Generation from Dynamic Scenes
VGQugiuCQs	8,8,8,6         	7.5 	Fair Clustering in the Sliding Window Model
VaowElpVzd	10,6,8,6        	7.5 	Co$^{\mathbf{3}}$Gesture: Towards Coherent Concurrent Co-speech 3D Gesture Generation with Interactive Diffusion
n9PDaFNi8t	8,8,8,6         	7.5 	OS-ATLAS: Foundation Action Model for Generalist GUI Agents
00SnKBGTsz	8,6,8,8         	7.5 	DataEnvGym: Data Generation Agents in Teacher Environments with Student Feedback
M2SsqpxGtc	8,8,6,8         	7.5 	CubeDiff: Repurposing Diffusion-Based Image Models for Panorama Generation
YK9G4Htdew	8,8,8,6         	7.5 	Learning Transformer-based World Models with Contrastive Predictive Coding
LC2KxRwC3n	8,8,6,8         	7.5 	A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoencoders
rFpZnn11gj	6,8,8,8         	7.5 	PathGen-1.6M: 1.6 Million Pathology Image-text Pairs Generation through Multi-agent Collaboration
3fl1SENSYO	8,8,8,6         	7.5 	Unleashing the Potential of Diffusion Models for Incomplete Data Imputation
XgH1wfHSX8	10,8,6,6        	7.5 	Algorithmic Phases of In-Context Learning
LSp4KBhAom	8,6,8,8         	7.5 	LoRA3D: Low-Rank Self-Calibration of 3D Geometric Foundation models
wkHcXDv7cv	8,8,6,8         	7.5 	Tuning Frequency Bias of State Space Models
LXftdR11io	8,6,8,8         	7.5 	POTEC: Off-Policy Contextual Bandits for Large Action Spaces via Policy Decomposition
X1OfiRYCLn	6,8,8,8         	7.5 	Dynamic Multimodal Evaluation with Flexible Complexity by Vision-Language Bootstrapping
yVeNBxwL5W	8,8,6,8         	7.5 	MRS: A Fast Sampler for Mean Reverting Diffusion based on ODE and SDE Solvers
WzCEiBILHu	6,8,8,8         	7.5 	Topological Schrödinger Bridge Matching
Wr3UuEx72f	8,6,8,8         	7.5 	LARP: Tokenizing Videos with a Learned Autoregressive Generative Prior
meRCKuUpmc	6,8,8,8         	7.5 	Predictive Inverse Dynamics Models are Scalable Learners for Robotic Manipulation
WcZLG8XxhD	8,8,6,8         	7.5 	Learning-Augmented Frequent Directions
WOzffPgVjF	8,6,8,8         	7.5 	Knowing Your Target : Target-Aware Transformer Makes Better Spatio-Temporal Video Grounding
WKfb1xGXGx	8,8,8,6         	7.5 	Perm: A Parametric Representation for Multi-Style 3D Hair Modeling
7nyJBVCTGQ	8,8,6,8         	7.5 	LiFT: Learning to Fine-Tune via Bayesian Parameter Efficient Meta Fine-Tuning
qyU5s4fzLg	8,6,8,8         	7.5 	Improving Unsupervised Constituency Parsing via Maximizing Semantic Information
qxRoo7ULCo	8,8,8,6         	7.5 	4K4DGen: Panoramic 4D Generation at 4K Resolution
qtTIP5Gjc5	8,6,8,8         	7.5 	Demystifying the Token Dynamics of Deep Selective State Space Models
Mfnh1Sqdwf	6,8,8,8         	7.5 	Learning to Discover Regulatory Elements for Gene Expression Prediction
4ub9gpx9xw	8,8,8,6         	7.5 	Walk the Talk? Measuring the Faithfulness of Large Language Model Explanations
N1L5TgtkAw	6,8,8,8         	7.5 	Multi-Draft Speculative Sampling: Canonical Architectures and Theoretical Limits
xsx3Fpo3UD	6,8,8,8         	7.5 	Advantage-Guided Distillation for Preference Alignment in Small Language Models
xsELpEPn4A	8,8,6,8         	7.5 	JudgeLM: Fine-tuned Large Language Models are Scalable Judges
oQ4igHyh3N	8,8,6,8         	7.5 	TokenFormer: Rethinking Transformer Scaling with Tokenized Model Parameters
5IkDAfabuo	8,6,8,8         	7.5 	Prioritized Generative Replay
5Jc7r5aqHJ	8,8,8,6         	7.5 	Energy-based Backdoor Defense Against Federated Graph Learning
6NNA0MxhCH	8,6,8,8         	7.5 	Answer, Assemble, Ace: Understanding How LMs Answer Multiple Choice Questions
pZISppZSTv	6,8,8,8         	7.5 	CLoSD: Closing the Loop between Simulation and Diffusion for multi-task character control
PSiijdQjNU	8,8,8,6         	7.5 	Steering Protein Family Design through Profile Bayesian Flow
SRpq5OBpED	8,8,8,6         	7.5 	Meta-Dynamical State Space Models for Integrative Neural Data Analysis
SOd07Qxkw4	8,8,8,6         	7.5 	Improved Convergence Rate for Diffusion Probabilistic Models
SOWZ59UyNc	8,8,6,8         	7.5 	Lean-STaR: Learning to Interleave Thinking and Proving
xoIeVdFO7U	8,6,8,8         	7.5 	Can a MISL Fly? Analysis and Ingredients for Mutual Information Skill Learning
5U1rlpX68A	8,8,6,8         	7.5 	S-LoRA: Scalable Low-Rank Adaptation for Class Incremental Learning
SG1R2H3fa1	8,8,6,8         	7.5 	Revisiting Random Walks for Learning on Graphs
pPyJyeLriR	8,8,8,6         	7.5 	Scalable and Certifiable Graph Unlearning: Overcoming the Approximation Error Barrier
S85PP4xjFD	6,8,8,8         	7.5 	ContraFusion: Contrastively Improving Compositional Understanding in Diffusion Models via Fine-Grained Negative Images
xQBRrtQM8u	8,8,6,8         	7.5 	Adjoint Matching: Fine-tuning Flow and Diffusion Generative Models with Memoryless Stochastic Optimal Control
pPQPQ7Yd58	8,6,8,8         	7.5 	Control-oriented Clustering of Visual Latent Representation
PkpNRmBZ32	8,8,8,6         	7.5 	Let SSMs be ConvNets: State-space Modeling with Optimal Tensor Contractions
PpYy0dR3Qw	6,8,8,8         	7.5 	LoCoDL: Communication-Efficient Distributed Learning with Local Training and Compression
Q0zmmNNePz	8,8,6,8         	7.5 	Topograph: An Efficient Graph-Based Framework for Strictly Topology Preserving Image Segmentation
QFO1asgas2	8,6,8,8         	7.5 	Advantage Alignment Algorithms
R1hIXdST22	8,8,8,6         	7.5 	Towards General-Purpose Model-Free Reinforcement Learning
QogcGNXJVw	6,8,8,8         	7.5 	The Computational Complexity of Circuit Discovery for Inner Interpretability
QjSOgxJ0hp	8,8,8,6         	7.5 	Learning from End User Data with Shuffled Differential Privacy
xaYlO03tIk	8,8,8,6         	7.5 	Stem-OB: Generalizable Visual Imitation Learning with Stem-Like Convergent Observation through Diffusion Inversion
QWunLKbBGF	8,8,8,6         	7.5 	Do LLMs Recognize Your Preferences? Evaluating Personalized Preference Following in LLMs
SgymXhOEA5	6,8,8,8         	7.5 	Exploring the Camera bias of Person Re-identification
6RtRsg8ZV1	6,8,8,8         	7.5 	MAD-TD: Model-Augmented Data stabilizes High Update Ratio RL
oI5tZaWkF9	8,8,8,6         	7.5 	Not All LLM-Generated Data Are Equal: Rethinking Data Weighting in Text Classification
SuH5SdOXpe	8,8,8,6         	7.5 	Robustness Reprogramming for Representation Learning
N4NhVN30ph	8,8,8,6         	7.5 	TOP-ERL: Transformer-based Off-Policy Episodic Reinforcement Learning
4HRRcqE9SU	6,8,8,8         	7.5 	ND-SDF: Learning Normal Deflection Fields for High-Fidelity Indoor Reconstruction
UvfI4grcM7	8,6,8,8         	7.5 	Efficient Training Framework for Realistic Sensory-Motor Integration in a Biologically Constrained Barrel Cortex Model
qPx3i9sMxv	8,6,8,8         	7.5 	Both Ears Wide Open: Towards Language-Driven Spatial Audio Generation
NGKQoaqLpo	8,8,6,8         	7.5 	How new data pollutes LLM knowledge and how to dilute it
4OaO3GjP7k	8,6,8,8         	7.5 	Flat Reward in Policy Parameter Space Implies Robust Reinforcement Learning
7IzeL0kflu	8,8,8,6         	7.5 	Simplifying Deep Temporal Difference Learning
7BQkXXM8Fy	8,6,10,6        	7.5 	What Makes a Good Diffusion Planner for Decision Making?
nYpPAT4L3D	8,8,6,8         	7.5 	Large-scale and Fine-grained Vision-language Pre-training for Enhanced CT Image Understanding
UVnD9Ze6mF	6,10,8,6        	7.5 	AIR-BENCH 2024: A Safety Benchmark based on Regulation and Policies Specified Risk Categories
UL8b54P96G	8,8,8,6         	7.5 	SlowFast-VGen: Slow-Fast Learning for Action-Driven Long Video Generation
U834XHJuqk	8,8,6,8         	7.5 	Nonlinear Sequence Embedding by Monotone Variational Inequality
U67J0QNtzo	8,6,8,8         	7.5 	On Disentangled Training for Nonlinear Transform in Learned Image Compression
4FWAwZtd2n	8,8,6,8         	7.5 	Scaling Test-Time Compute Optimally Can be More Effective than Scaling LLM Parameters
U3PBITXNG6	8,8,6,8         	7.5 	InverseBench: Benchmarking Plug-and-Play Diffusion Models for Scientific Inverse Problems
Njx1NjHIx4	6,8,8,8         	7.5 	Formation of Representations in Neural Networks
q3EbOXb4y1	8,6,8,8         	7.5 	Retri3D: 3D Neural Graphics Representation Retrieval
6tyPSkshtF	6,8,8,8         	7.5 	Gap-Dependent Bounds for Q-Learning using Reference-Advantage Decomposition
y5einmJ0Yx	8,8,8,6         	7.5 	GOLD: Graph Out-of-Distribution Detection via Implicit Adversarial Latent Generation
TeVAZXr3yv	6,8,8,8         	7.5 	MMAU: A Massive Multi-Task Audio Understanding and Reasoning Benchmark
OZVTqoli2N	6,8,8,8         	7.5 	A Second-Order Perspective on Model Compositionality and Incremental Learning
OdnqG1fYpo	8,8,6,8         	7.5 	Moner: Motion Correction in Undersampled Radial MRI with Unsupervised Neural Representation
TId1SHe8JG	6,8,8,8         	7.5 	Provable Uncertainty Decomposition via Higher-Order Calibration
THqWPzL00e	8,8,6,8         	7.5 	TopoNets: High performing vision and language models with brain-like topography
o9kqa5K3tB	8,6,8,8         	7.5 	On the Benefits of Memory for Modeling Time-Dependent PDEs
oCHsDpyawq	8,8,6,8         	7.5 	ZAPBench: A Benchmark for Whole-Brain Activity Prediction in Zebrafish
xGs7Ch3Vyo	6,8,8,8         	7.5 	Better autoregressive regression with LLMs
SyVPiehSbg	8,8,6,8         	7.5 	Deep Learning Alternatives Of The Kolmogorov Superposition Theorem
4gaySj8kvX	6,8,8,8         	7.5 	Accelerating Goal-Conditioned Reinforcement Learning Algorithms and Research
YLIsIzC74j	8,8,8,6         	7.5 	LaMPlace: Learning to Optimize Cross-Stage Metrics in Macro Placement
IwPXYk6BV9	8,6,8,8         	7.5 	Enhancing Learning with Label Differential Privacy by Vector Approximation
